0, 1605977498.256033, E, 100, won carrot
1, 1605978484.920863, A, -100, lost carrot
2, 1605979178.425647, E, -100, lost carrot
3, 1606443026.446129, A, -100, lost carrot
4, 1606790223.380566, A, 100, won carrot
5, 1607042854.500336, O, 100, won carrot
6, 1607045864.533115, F, 100, won carrot
7, 1607476115.447267, O, 100, won carrot
8, 1607546038.888401, D, -100, lost carrot
9, 1607546052.268677, D, -100, lost carrot
10, 1607546062.174345, D, -100, lost carrot
11, 1607546109.269161, A, -100, lost carrot
12, 1607546322.619857, D, -100, lost carrot
13, 1607546331.926208, D, -100, lost carrot
14, 1607546404.705273, D, -100, lost carrot
15, 1607546417.73671, D, 100, won carrot
16, 1607549622.059184, B, -100, lost carrot
17, 1607549635.040551, B, 100, won carrot
18, 1607558188.767727, O, 100, won carrot
19, 1607559237.274288, N, -100, lost carrot
20, 1607559582.175404, B, -100, lost carrot
21, 1607559591.438226, B, 100, won carrot
22, 1607559650.146547, N, 100, won carrot
23, 1607559661.998821, N, 100, won carrot
24, 1607559673.992499, J, -100, lost carrot
25, 1607559684.298872, J, 100, won carrot
26, 1607559702.029979, N, 100, won carrot
27, 1607559712.760306, N, -100, lost carrot
28, 1607559723.670877, N, 100, won carrot
29, 1607559736.614469, N, -100, lost carrot
30, 1607559747.308234, N, -100, lost carrot
31, 1607559757.540568, N, 100, won carrot
32, 1607559767.916438, N, -100, lost carrot
33, 1607559777.981837, N, 100, won carrot
34, 1607559797.851719, N, -100, lost carrot
35, 1607559808.68599, N, 100, won carrot
36, 1607559852.094117, N, 100, won carrot
37, 1607560068.893674, B, 100, won carrot
38, 1607560078.114288, B, -100, lost carrot
39, 1607560088.372727, B, 100, won carrot
40, 1607560107.78592, B, 100, won carrot
41, 1607562217.680261, A, -100, lost carrot
42, 1607562237.213229, D, 100, won carrot
43, 1607622007.624155, H, -100, lost carrot
44, 1607662695.327575, O, -100, lost carrot
45, 1607662710.237354, O, 100, won carrot
46, 1607698626.835472, A, 100, won carrot
47, 1607698637.16037, A, -100, lost carrot
48, 1607722533.665058, D, 100, won carrot
49, 1607722542.116826, D, -100, lost carrot
50, 1607722551.256493, D, -100, lost carrot
51, 1607820680.050893, D, 100, won carrot
52, 1607820754.428065, B, 100, won carrot
53, 1607836958.841279, D, 100, won carrot
54, 1607836986.893998, D, -100, lost carrot
55, 1607836997.887431, D, 100, won carrot
56, 1607837016.386767, D, 100, won carrot
57, 1607837027.322903, D, 100, won carrot
58, 1607837038.138852, D, -100, lost carrot
59, 1607837060.64018, D, -100, lost carrot
60, 1607837070.823526, D, 100, won carrot
61, 1607869952.69504, A, 100, won carrot
62, 1607869964.469677, A, 100, won carrot
63, 1607869977.894539, A, -100, lost carrot
64, 1607887311.481327, H, -100, lost carrot
65, 1607887326.875397, H, 100, won carrot
66, 1607887338.979766, B, 100, won carrot
67, 1607887348.167927, B, 100, won carrot
68, 1607901305.704271, A, 100, won carrot
69, 1607901316.377222, A, 100, won carrot
70, 1607901325.723576, A, -100, lost carrot
71, 1607996457.71454, O, -100, lost carrot
72, 1607996922.812834, D, 100, won carrot
73, 1607996930.597952, D, -100, lost carrot
74, 1607997204.896974, A, -100, lost carrot
75, 1608042982.211002, B, 100, won carrot
76, 1608050226.693969, B, 100, won carrot
77, 1608050390.648733, D, -100, lost carrot
78, 1608050523.663859, A, -100, lost carrot
79, 1608224550.151721, B, -100, lost carrot
80, 1608224565.921732, B, 100, won carrot
81, 1608326383.85121, G, -100, lost carrot
82, 1608326403.844934, G, 100, won carrot
83, 1608326417.283204, G, 100, won carrot
84, 1608326431.080786, G, -100, lost carrot
85, 1608763166.399924, H, 100, won carrot
86, 1608772390.268785, B, 100, won carrot
87, 1608772592.28137, D, -100, lost carrot
88, 1608772601.582173, D, -100, lost carrot
89, 1608772608.918886, D, 100, won carrot
90, 1608772621.011938, D, 100, won carrot
91, 1608772629.219903, D, 100, won carrot
92, 1608772651.449762, D, 100, won carrot
93, 1608772658.897803, D, 100, won carrot
94, 1608772667.116153, D, -100, lost carrot
95, 1608776421.933341, A, 100, won carrot
96, 1608845384.74441, B, -100, lost carrot
97, 1608845402.862895, B, -100, lost carrot
98, 1608845411.693139, B, -100, lost carrot
99, 1608845420.463628, B, -100, lost carrot
100, 1608845428.569994, B, 100, won carrot
101, 1608906528.129467, A, 100, won carrot
102, 1608932114.240521, E, -100, lost carrot
