0, 1636947250.971495, F, -90, lost carrot
1, 1637773991.152118, A, 90, won carrot
2, 1638283348.438079, A, -100, lost RSPLP
3, 1638586644.767074, A, 100, win RSPLP
4, 1638644483.917266, K, -100, lost RSPLP
5, 1638644496.372256, K, -100, lost RSPLP
6, 1638644507.337815, K, 100, win RSPLP
7, 1638644589.11271, K, -90, lost carrot
8, 1638654738.943032, A, 90, won carrot
9, 1638654748.720307, A, 100, win RSPLP
10, 1639429725.846742, D, -100, lost RSPLP
11, 1639628160.543976, C, -90, lost carrot
12, 1639665938.97018, G, -100, lost RSPLP
13, 1639719289.778134, A, 90, won carrot
14, 1639723789.196439, L, -90, lost carrot
15, 1639723808.796181, L, -90, lost carrot
16, 1639723827.241876, L, -90, lost carrot
17, 1639723846.459825, L, 90, won carrot
18, 1639723871.921189, L, 100, win RSPLP
19, 1639723910.146182, L, 100, win RSPLP
20, 1639723921.271775, L, -100, lost RSPLP
21, 1639723942.066036, L, -100, lost RSPLP
22, 1639723968.58985, L, -90, lost carrot
23, 1639723982.499428, L, 90, won carrot
24, 1639723995.457632, L, -90, lost carrot
25, 1639724004.438247, L, 90, won carrot
26, 1639724015.03218, L, 90, won carrot
27, 1639724044.619151, L, -90, lost carrot
28, 1639724059.464507, L, 90, won carrot
29, 1639724072.352104, L, 90, won carrot
30, 1639724126.128674, L, -90, lost carrot
31, 1639724135.49201, L, 90, won carrot
32, 1639724148.049198, L, -90, lost carrot
33, 1639724171.153558, L, 90, won carrot
34, 1639724180.669822, L, 90, won carrot
35, 1639765585.527457, G, 90, won carrot
36, 1640236869.360204, D, -90, lost carrot
37, 1640239667.305201, L, -90, lost carrot
38, 1640239677.227016, L, 90, won carrot
39, 1640456641.465336, M, 90, won carrot
